state_no,state_name,total_from_CA_2010
1001,Alabama,3364
1002,Alaska,9579
1003,Arizona,33854
1004,Arkansas,4172
1005,California,NaN
1006,Colorado,15662
1007,Connecticut,4631
1008,Delaware,643
1009,District of Columbia ,3683
1010,Florida,20362
1011,Georgia,8820
1012,Hawaii,9528
1013,Idaho,5719
1014,Illinois,16482
1015,Indiana,6550
1016,Iowa,3163
1017,Kansas,3857
1018,Kentucky,3394
1019,Louisiana,2989
1020,Maine,1796
1021,Maryland,10626
1022,Massachusetts,11969
1023,Michigan,10435
1024,Minnesota,5095
1025,Mississippi,2757
1026,Missouri,6921
1027,Montana,3009
1028,Nebraska,3062
1029,Nevada,27724
1030,New Hampshire,1614
1031,New Jersey,10108
1032,New Mexico,4632
1033,New York,20981
1034,North Carolina,9593
1035,North Dakota,392
1036,Ohio,8170
1037,Oklahoma,5708
1038,Oregon,20913
1039,Pennsylvania,9948
1040,Rhode Island,526
1041,South Carolina,5016
1042,South Dakota,1604
1043,Tennessee,4349
1044,Texas,36582
1045,Utah,10653
1046,Vermont,525
1047,Virginia,14232
1048,Washington,30544
1049,West Virginia,1446
1050,Wisconsin,6031
1051,Wyoming,1336
1052,Abroad,259640
