Region,value
27.0,347585.0
36.0,308725.0
36.0,303931.0
9.0,289675.0
36.0,247922.0
27.0,213099.0
18.0,196979.0
36.0,187313.0
36.0,173198.0
27.0,144511.0
9.0,121259.0
9.0,109922.0
36.0,107999.0
27.0,104558.0
9.0,103050.0
27.0,101634.0
36.0,97966.0
18.0,94365.0
18.0,92203.0
27.0,86061.0
18.0,65638.0
18.0,64978.0
27.0,59964.0
18.0,59819.0
18.0,57342.0
36.0,54476.0
27.0,51884.0
36.0,49951.0
27.0,49560.0
36.0,48629.0
9.0,47045.0
27.0,41284.0
18.0,38237.0
27.0,37981.0
27.0,28898.0
36.0,28742.0
27.0,28742.0
18.0,27796.0
18.0,23920.0
27.0,23596.0
36.0,23256.0
9.0,14967.0
36.0,14967.0
27.0,14967.0
18.0,14967.0
0.0,14967.0
27.0,14967.0
0.0,14967.0
36.0,14967.0
9.0,14705.0
9.0,13697.0
18.0,13264.0
18.0,12021.0
9.0,11126.0
27.0,9153.0
27.0,7910.0
9.0,7586.0
