state_no,median Income,median housing cost (monthly) ,medican_home_value,median real estate taxes
1001,61.964,1130,142.7,568
1002,94.747,1772,255.7,3177
1003,66.539,1442,177,1489
1004,59.393,987,122.6,703
1005,88.444,2242,377.7,3284
1006,78.267,1590,243.3,1508
1007,94.298,2068,294.5,4987
1008,77.716,1569,249,1302
1009,112.294,2297,439.4,2640
1010,62.096,1505,172.1,1979
1011,67.424,1390,164.9,1654
1012,88.857,2240,516.1,1400
1013,60.953,1187,171,1280
1014,77.134,1655,203.9,4061
1015,63.3,1090,130.7,1123
1016,67.976,1140,133.3,1769
1017,70.693,1239,143.1,1875
1018,61.497,1072,136.1,1104
1019,68.145,1163,157.7,784
1020,65.808,1289,188.5,2211
1021,98.145,2016,311,3079
1022,94.695,2036,337.7,3624
1023,64.74,1288,132,2410
1024,77.042,1503,202.9,2256
1025,56.878,1043,118.7,846
1026,65.911,1182,149.4,1418
1027,62.191,1217,196.8,1656
1028,71.102,1218,136,2482
1029,71.865,1638,179.1,1783
1030,84.346,1853,247.6,4807
1031,99.984,2370,346.8,6963
1032,62.597,1202,174.3,1243
1033,87.812,1963,315.1,4399
1034,64.837,1250,165.8,1382
1035,73.191,1133,142.8,2025
1036,66.594,1246,141.7,2121
1037,62.732,1089,123.6,1090
1038,70.418,1577,253.3,2509
1039,72.891,1390,182.1,2595
1040,79.813,1837,258.1,3815
1041,62.767,1177,153.4,867
1042,68.243,1151,146.8,1927
1043,61.581,1161,147,1080
1044,74.935,1402,144.7,2997
1045,71.038,1433,220.9,1426
1046,68.698,1445,222.9,3588
1047,87.012,1728,271.5,2158
1048,80.24,1736,280,2737
1049,59.593,918,116,648
1050,71.063,1404,175.6,3244
1051,74.26,1300,191.6,1189
1052,37.217,851,140.1,773
