Year,Region,NAME,Population,Net Population Change,Net Migration
2010,0,United States,309321666,563561,174416
2010,1,Northeast Region,55380134,61691,12225
2010,2,Midwest Region,66974416,44691,-25953
2010,3,South Region,114866680,303650,158731
2010,4,West Region,72100436,153529,29413
2010,3,Alabama,4785437,5312,2168
2010,4,Alaska,713910,3661,1598
2010,4,Arizona,6407172,14884,5672
2010,3,Arkansas,2921964,5933,3270
2010,4,California,37319502,64983,-721
2010,4,Colorado,5047349,18030,8433
2010,1,Connecticut,3579114,4967,2572
2010,3,Delaware,899593,1656,638
2010,3,District of Columbia,605226,3459,2169
2010,3,Florida,18845537,40973,32460
2010,3,Georgia,9711881,23152,7100
2010,4,Hawaii,1363963,3656,1627
2010,4,Idaho,1570746,3089,-264
2010,2,Illinois,12840503,8931,-8461
2010,2,Indiana,6490432,6381,-664
2010,2,Iowa,3050745,3874,903
2010,2,Kansas,2858190,5067,1138
2010,3,Kentucky,4348181,8848,5551
2010,3,Louisiana,4544532,11045,5308
2010,1,Maine,1327629,-729,-1015
2010,3,Maryland,5788645,14851,7396
2010,1,Massachusetts,6566307,18522,12435
2010,2,Michigan,9877510,-6606,-14053
2010,2,Minnesota,5310828,6901,-1100
2010,3,Mississippi,2970548,2418,-478
2010,2,Missouri,5995974,7024,1369
2010,4,Montana,990697,1290,653
2010,2,Nebraska,1829542,3237,403
2010,4,Nevada,2702405,1728,-2144
2010,1,New Hampshire,1316762,300,-354
2010,1,New Jersey,8799446,7468,-1746
2010,4,New Mexico,2064552,5353,2456
2010,1,New York,19399878,21734,-3777
2010,3,North Carolina,9574323,38572,25284
2010,2,North Dakota,674715,2139,1253
2010,2,Ohio,11539336,2585,-5311
2010,3,Oklahoma,3759944,8362,2760
2010,4,Oregon,3837491,6412,2560
2010,1,Pennsylvania,12711160,8292,3742
2010,1,Rhode Island,1053959,995,493
2010,3,South Carolina,4635649,10283,5650
2010,2,South Dakota,816166,1968,856
2010,3,Tennessee,6355311,9035,3830
2010,3,Texas,25241971,95880,42957
2010,4,Utah,2775332,11441,1418
2010,1,Vermont,625879,142,-125
2010,3,Virginia,8023699,22650,11264
2010,4,Washington,6742830,18290,8181
2010,3,West Virginia,1854239,1221,1404
2010,2,Wisconsin,5690475,3190,-2286
2010,4,Wyoming,564487,712,-56
2010,X,Puerto Rico,3721525,-4632,-7097
